doc,coverage_n7,coverage_n13
1512,0.017391,0
1513,0.007229,0
1514,0,0
1515,0.001079,0
1516,0,0
1517,0.00295,0
1518,0.002247,0
1519,0,0
1520,0,0
1521,0,0
1522,0.018182,0
1523,0.003861,0
1524,0.033333,0.025974
1525,0.003538,0
1526,0.010309,0
1527,0,0
1528,0.009259,0
1529,0.001695,0
1530,0.008333,0
1531,0.007848,0
1532,0,0
1533,0,0
1534,0.110932,0.021104
1535,0,0
1536,0,0
1537,0,0
1538,0,0
1539,0,0
1540,0.004591,0
1541,0,0
1542,0.001789,0
1543,0,0
1544,0.003663,0
1545,0,0
1546,0,0
1547,0,0
1548,0,0
1549,0,0
1550,0,0
1551,0.003289,0
1552,0.010959,0
1553,0.004224,0.001057
1554,0,0
1555,0,0
1556,0,0
1557,0.004975,0
1558,0.00708,0.000394
1559,0,0
1560,0,0
1561,0,0
1562,0,0
1563,0.004082,0
1564,0,0
1565,0,0
1566,0,0
1567,0.000389,0
1568,0,0
1569,0.001963,0
1570,0.005587,0
1571,0.008489,0
1572,0,0
1573,0,0
1574,0,0
1575,0.003102,0
1576,0,0
1577,0,0
1578,0,0
1579,0,0
1580,0,0
1581,0,0
1582,0,0
1583,0.042056,0.014423
1584,0.003497,0
1585,0.003953,0
1586,0.020202,0
1587,0.005479,0
1588,0.007172,0
1589,0,0
1590,0.002353,0
1591,0,0
1592,0,0
1593,0.001199,0
1594,0.000914,0
1595,0,0
1596,0,0
1597,0.003623,0
1598,0.004329,0
1599,0.001149,0
1600,0,0
1601,0,0
1602,0.007194,0
1603,0,0
1604,0,0
1605,0,0
1606,0,0
1607,0,0
1608,0.003552,0
1609,0.037267,0
1610,0.117241,0.043165
1611,0,0
1612,0,0
1613,0,0
1614,0.004525,0
1615,0,0
1616,0,0
1617,0,0
1618,0,0
1619,0,0
1620,0,0
1621,0.137574,0.108309
1622,0.003984,0
1623,0,0
1624,0.006645,0
1625,0.003774,0
1626,0,0
1627,0.007168,0
1628,0.003257,0
1629,0.00286,0
1630,0.008658,0
1631,0.004077,0
1632,0,0
1633,0,0
1634,0,0
1635,0,0
1636,0,0
1637,0.004292,0
1638,0,0
1639,0,0
1640,0.142857,0.111437
1641,0,0
1642,0.001183,0
1643,0,0
1644,0.001726,0
1645,0.028986,0.0059
1646,0.015625,0.011211
1647,0.006188,0
1648,0,0
1649,0,0
1650,0.004706,0
1651,0,0
1652,0,0
1653,0.002959,0
1654,0.753676,0.725564
1655,0.002611,0
1656,0.00304,0
1657,0.005051,0
1658,0,0
1659,0,0
1660,0.001953,0
1661,0.003086,0
1662,0.006024,0
1663,0,0
1664,0,0
1665,0,0
1666,0,0
1667,0,0
1668,0.003534,0
1669,0,0
1670,0.005445,0
1671,0,0
1672,0,0
1673,0.020725,0
1674,0,0
1675,0.007435,0
1676,0.011662,0
1677,0,0
1678,0,0
1679,0,0
1680,0,0
1681,0,0
1682,0,0
1683,0.001748,0
1684,0,0
1685,0,0
1686,0.078431,0.040816
1687,0,0
1688,0.003617,0
1689,0.013333,0
1690,0,0
1691,0.003049,0
1692,0.000683,0
1693,0.009375,0
1694,0,0
1695,0,0
1696,0,0
1697,0,0
1698,0.004785,0
1699,0,0
1700,0,0
1701,0,0
1702,0.002494,0
1703,0,0
1704,0.019417,0
1705,0,0
1706,0.001751,0
1707,0,0
1708,0.092105,0.067568
1709,0,0
1710,0,0
1711,0,0
1712,0.005988,0
1713,0.01087,0
1714,0,0
1715,0,0
1716,0,0
1717,0.002732,0
1718,0,0
1719,0,0
1720,0,0
1721,0,0
1722,0.001043,0
1723,0.022727,0
